X,Y,FID,LONGITUDE,LATITUDE,NAV_UNIT_I,UNLOCODE,NAV_UNIT_N,LOCATION_D,FACILITY_T,STREET_ADD,CITY_OR_TO,STATE_POST,ZIPCODE,COUNTY_NAM,COUNTY_FIP,CONGRESS,CONGRESS_F,WTWY_NAME,PORT_NAME,PSA_NAME,MILE,BANK,LATITUDE1,LONGITUDE1,OPERATORS,OWNERS,PURPOSE,HIGHWAY_NO,RAILWAY_NO,LOCATION,DOCK,COMMODITIE,CONSTRUCTI,MECHANICAL,REMARKS,VERTICAL_D,DEPTH_MIN,DEPTH_MAX,BERTHING_L,BERTHING_T,DECK_HEIGH,DECK_HEI_1,SERVICE_IN,SERVICE_TE
-13584039.3854,5718619.703,17,-122.027502,45.613453,01YU,CZK,COL RIVER - MIDSTREAM - MILE 141, ,Dock, ,CASCADE LOCKS,WA,97014,Skamania,59,112,03,"Columbia River between Vancouver, WA and The Dalles, OR", , ,141.0, ,45.613453,-122.027502, , , , , ,90141,1,Fish, , , , , , , , , , ,01-JAN-1990, 
-13231490.6694,5820957.5846,91,-118.860503,46.252825,021N,BB2,HARDROCK DOLPHINS, ,Dock, ,BURBANK,WA,99323,Franklin,21,112,04,"Snake River, OR, WA and ID", , ,11.0, ,46.252825,-118.860503, , , , , ,92651,3, , , , , , , , , , , ,01-JAN-1990, 
-13208826.5777,5845488.7046,99,-118.656908,46.404992,021Y,PQW,WINDUST, ,Dock, ,PRESCOTT,WA,99348,Franklin,21,112,04,"Snake River, OR, WA and ID", , ,28.0, ,46.404992,-118.656908, , , , , ,92678,701,Wheat, , , , , , , , , , ,01-JAN-1990, 
-13195516.1062,5870698.3636,100,-118.537338,46.560927,021Z,PQW,LOWER MONUMENTAL LOCK & DAM, ,Lock and/or Dam, ,PRESCOTT,WA,99348,Walla Walla,71,112,05,"Snake River, OR, WA and ID", , ,41.5, ,46.560927,-118.537338, ,Current Owner and Operator: U. S. Army Corps of Engineers, , , ,92681,506,"Petroleum and Petroleum Products | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Pulp and Waste", , , , , , , , , , ,07-JUL-1992, 
-13194634.9011,5871439.7339,102,-118.529422,46.565506,0222,PQW,LOWER WINGWALL, ,Dock, ,PRESCOTT,WA,99348,Walla Walla,71,112,05,"Snake River, OR, WA and ID", , ,42.0, ,46.565506,-118.529422, , , , , ,92682,506, , , , , , , , , , , ,01-JAN-1990, 
-13160535.292,5876025.3474,112,-118.2231,46.59382,022G, ,LYONS FERRY NORTH BANK, ,Dock, ,STARBUCK,WA,99359,Franklin,21,112,04,"Snake River, OR, WA and ID", , ,59.0, ,46.59382,-118.2231, , , , , ,92699,1, , , , , , , , , , , ,01-JAN-1990, 
-13147512.5814,5870780.6091,116,-118.106115,46.561435,022N,DYW,TEXAS RAPIDS, ,Dock, ,DAYTON,WA,99328,Whitman,75,112,05,"Snake River, OR, WA and ID", , ,66.0, ,46.561435,-118.106115, , , , , ,92706,10,"Waste Material; Garbage, Landfill, Sewage Sludge, Waste Water", , , , , , , , , , ,01-JAN-1990, 
-13250019.91,5814370.8075,117,-119.026954,46.211895,022Q,PSC,CENEX COMPANY, ,Dock, ,PASCO,WA,99301,Walla Walla,71,112,05,"Snake River, OR, WA and ID", , ,2.0, ,46.211895,-119.026954, , , , , ,92642,1, , , , , , , , , , , ,01-JAN-1990, 
-13233812.794,5820676.0213,124,-118.881363,46.251076,0230,PSC,ICE HARBOR LOCK & DAM, ,Lock and/or Dam, ,PASCO,WA,99301,Franklin,21,112,04,"Snake River, OR, WA and ID", , ,9.6, ,46.251076,-118.881363, ,Current Owner and Operator: U. S. Army Corps of Engineers, , , ,92649,2,"Petroleum and Petroleum Products | Crude Petroleum | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Fertilizers | Other Chemicals and Related Products | C", , , , , , , , , , ,07-JUL-1992, 
-13233710.6027,5820409.2769,125,-118.880445,46.249419,0231,BB2,ABOVE LOCK & DAM, ,Dock, ,BURBANK,WA,99323,Walla Walla,71,112,05,"Snake River, OR, WA and ID", , ,10.0, ,46.249419,-118.880445, , , , , ,92650,1, , , , , , , , , , , ,01-JAN-1990, 
